Plot,Corner,Species,Row,Column,TP_ID,Add_Year,Obs_Date,Germ.binom
8,SW,BLACK,1,F,20198BLACKSW1F,2019,2019-09-21,1
14,SW,BLACK,1,H,201914BLACKSW1H,2019,2019-09-21,1
18,SW,BLACK,1,J,201918BLACKSW1J,2019,2019-09-21,1
18,SW,BLACK,1,A,201918BLACKSW1A,2019,2019-09-21,1
24,SW,BLACK,1,A,201924BLACKSW1A,2019,2019-09-21,1
14,SW,BLACK,1,B,201914BLACKSW1B,2019,2019-09-21,1
24,SW,BLACK,1,B,201924BLACKSW1B,2019,2019-09-21,1
14,SW,BLACK,1,C,201914BLACKSW1C,2019,2019-09-21,1
20,SW,BLACK,1,C,201920BLACKSW1C,2019,2019-09-21,1
25,SW,BLACK,2,F,201925BLACKSW2F,2019,2019-09-21,1
18,SW,BLACK,2,I,201918BLACKSW2I,2019,2019-09-21,1
14,SW,BLACK,2,J,201914BLACKSW2J,2019,2019-09-21,1
3,SW,BLACK,3,H,20193BLACKSW3H,2019,2019-09-21,1
14,SW,BLACK,3,I,201914BLACKSW3I,2019,2019-09-21,1
14,SW,BLACK,3,J,201914BLACKSW3J,2019,2019-09-21,1
18,SW,BLACK,2,B,201918BLACKSW2B,2019,2019-09-21,1
18,SW,BLACK,3,G,201918BLACKSW3G,2019,2019-09-21,1
24,SW,BLACK,2,D,201924BLACKSW2D,2019,2019-09-21,1
20,SW,BLACK,2,H,201920BLACKSW2H,2019,2019-09-21,1
10,SW,BLACK,2,H,201910BLACKSW2H,2019,2019-09-21,1
18,SW,BLACK,1,D,201918BLACKSW1D,2019,2019-09-21,1
8,SW,BLACK,2,J,20198BLACKSW2J,2019,2019-09-21,1
25,SW,BLACK,2,E,201925BLACKSW2E,2019,2019-09-21,1
18,SW,BLACK,1,G,201918BLACKSW1G,2019,2019-09-21,1
24,SW,BLACK,1,H,201924BLACKSW1H,2019,2019-09-21,1
10,SW,BLACK,1,A,201910BLACKSW1A,2019,2019-09-21,1
8,SW,BLACK,2,F,20198BLACKSW2F,2019,2019-09-21,1
25,SW,BLACK,2,G,201925BLACKSW2G,2019,2019-09-21,1
29,SW,BLACK,2,H,201929BLACKSW2H,2019,2019-09-21,1
10,SW,BLACK,2,I,201910BLACKSW2I,2019,2019-09-21,1
8,SW,BLACK,3,J,20198BLACKSW3J,2019,2019-09-21,1
18,SW,BLACK,3,J,201918BLACKSW3J,2019,2019-09-21,1
24,SW,BLACK,3,J,201924BLACKSW3J,2019,2019-09-21,1
29,SW,BLACK,2,B,201929BLACKSW2B,2019,2019-09-21,1
29,SW,BLACK,2,D,201929BLACKSW2D,2019,2019-09-21,1
29,SW,BLACK,3,G,201929BLACKSW3G,2019,2019-09-21,1
21,NE,BLACK,1,D,201921BLACKNE1D,2019,2019-09-21,1
20,SW,BLACK,1,H,201920BLACKSW1H,2019,2019-09-21,1
8,SW,BLACK,1,J,20198BLACKSW1J,2019,2019-09-21,1
14,SW,BLACK,1,A,201914BLACKSW1A,2019,2019-09-21,1
29,SW,BLACK,1,C,201929BLACKSW1C,2019,2019-09-21,1
29,SW,BLACK,1,E,201929BLACKSW1E,2019,2019-09-21,1
18,SW,BLACK,2,F,201918BLACKSW2F,2019,2019-09-21,1
30,SW,BLACK,2,F,201930BLACKSW2F,2019,2019-09-21,1
21,NE,BLACK,1,H,201921BLACKNE1H,2019,2019-09-21,1
3,SW,BLACK,2,H,20193BLACKSW2H,2019,2019-09-21,1
24,SW,BLACK,2,H,201924BLACKSW2H,2019,2019-09-21,1
27,SW,BLACK,2,I,201927BLACKSW2I,2019,2019-09-21,1
22,SW,BLACK,2,J,201922BLACKSW2J,2019,2019-09-21,1
10,SW,BLACK,3,I,201910BLACKSW3I,2019,2019-09-21,1
14,SW,BLACK,3,F,201914BLACKSW3F,2019,2019-09-21,1
